Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,45,8.79,7.75,9.87,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,50,14.56,12.85,16.30,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,55,22.08,19.97,24.35,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,60,30.99,28.49,33.70,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,65,42.03,39.01,45.17,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,70,54.78,51.39,57.83,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,75,67.08,63.67,70.17,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,60-80%,80,76.85,73.63,79.66,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,5,0.08,0.03,0.13,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,10,0.15,0.10,0.21,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,15,0.29,0.21,0.38,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,20,0.44,0.34,0.54,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,25,0.75,0.62,0.90,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,30,1.36,1.13,1.64,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,35,2.63,2.23,3.09,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,40,4.85,4.07,5.69,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,45,8.74,7.53,10.01,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,50,14.51,12.66,16.51,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,55,22.12,19.88,24.70,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,60,31.21,28.29,34.39,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,65,42.57,39.35,46.01,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,70,55.71,51.94,59.42,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,75,68.33,64.49,72.41,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,80-90%,80,78.15,74.73,81.73,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,5,0.08,0.03,0.14,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,10,0.16,0.10,0.22,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,15,0.30,0.21,0.40,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,20,0.45,0.34,0.57,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,25,0.77,0.63,0.95,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,30,1.39,1.13,1.72,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,35,2.69,2.20,3.24,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,40,4.95,4.14,5.96,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,45,8.92,7.59,10.57,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,50,14.81,12.73,17.37,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,55,22.53,20.17,25.47,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,60,31.74,28.56,35.28,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,65,43.19,39.63,47.12,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,70,56.37,52.11,60.66,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,75,68.94,64.23,73.61,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,90-95%,80,78.66,74.56,82.69,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,5,0.10,0.04,0.17,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,10,0.20,0.13,0.28,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,15,0.38,0.28,0.50,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,20,0.56,0.43,0.72,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,25,0.97,0.78,1.19,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,30,1.76,1.44,2.17,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,35,3.39,2.83,4.09,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,40,6.22,5.22,7.44,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,45,11.15,9.48,13.19,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,50,18.22,15.68,20.91,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,55,26.92,23.96,30.28,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,60,36.67,33.39,40.63,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,65,48.05,44.23,52.06,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,70,60.40,56.20,64.86,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,75,71.62,67.57,75.86,,,
All Cancers,Massachusetts (USA),Females,Mass General Brigham,Age,> 95%,80,80.20,76.48,83.85,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,5,0.17,0.02,0.34,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,10,0.24,0.08,0.40,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,15,0.33,0.17,0.50,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,20,0.46,0.29,0.64,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,25,0.68,0.50,0.86,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,30,0.96,0.76,1.17,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,35,1.32,1.09,1.58,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,40,1.80,1.53,2.10,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,45,2.42,2.10,2.81,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,50,3.43,3.00,3.92,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,55,5.14,4.52,5.85,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,60,7.97,7.01,9.00,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,65,13.24,11.57,14.91,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,70,20.76,18.46,23.30,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,75,30.31,27.08,33.39,,,
All Cancers,Norway,Males,HUNT,Age,< 20%,80,39.74,36.33,43.38,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,5,0.19,0.02,0.35,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,10,0.26,0.10,0.43,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,15,0.36,0.19,0.53,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,20,0.49,0.33,0.67,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,25,0.73,0.54,0.92,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,30,1.03,0.82,1.27,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,35,1.43,1.19,1.67,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,40,1.94,1.65,2.21,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,45,2.61,2.28,2.97,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,50,3.69,3.23,4.17,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,55,5.55,4.89,6.25,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,60,8.62,7.51,9.71,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,65,14.35,12.64,16.03,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,70,22.50,20.18,25.09,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,75,32.78,29.55,36.06,,,
All Cancers,Norway,Males,HUNT,Age,20-40%,80,42.78,39.26,46.47,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,5,0.21,0.02,0.40,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,10,0.30,0.11,0.48,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,15,0.41,0.21,0.59,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,20,0.56,0.37,0.76,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,25,0.83,0.62,1.04,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,30,1.18,0.94,1.41,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,35,1.63,1.35,1.88,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,40,2.21,1.90,2.49,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,45,2.97,2.62,3.29,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,50,4.20,3.72,4.64,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,55,6.25,5.55,6.89,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,60,9.60,8.48,10.59,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,65,15.68,13.87,17.36,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,70,24.16,21.60,26.62,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,75,34.58,31.32,37.49,,,
All Cancers,Norway,Males,HUNT,Age,40-60%,80,44.54,41.26,47.74,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,5,0.21,0.02,0.40,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,10,0.29,0.10,0.50,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,15,0.39,0.21,0.59,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,20,0.55,0.36,0.74,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,25,0.81,0.60,1.03,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,30,1.14,0.90,1.38,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,35,1.58,1.32,1.86,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,40,2.14,1.82,2.46,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,45,2.88,2.52,3.25,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,50,4.08,3.56,4.59,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,55,6.13,5.37,6.84,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,60,9.54,8.40,10.72,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,65,15.88,13.95,17.95,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,70,24.85,22.16,27.83,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,75,36.01,32.41,39.40,,,
All Cancers,Norway,Males,HUNT,Age,60-80%,80,46.65,42.63,50.45,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,5,0.26,0.02,0.51,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,10,0.36,0.12,0.62,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,15,0.49,0.25,0.74,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,20,0.68,0.44,0.95,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,25,1.00,0.73,1.31,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,30,1.42,1.12,1.75,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,35,1.96,1.62,2.35,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,40,2.66,2.25,3.14,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,45,3.58,3.06,4.16,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,50,5.04,4.42,5.80,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,55,7.45,6.52,8.43,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,60,11.30,9.79,12.74,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,65,18.14,15.96,20.41,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,70,27.40,24.39,30.58,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,75,38.43,34.73,42.11,,,
All Cancers,Norway,Males,HUNT,Age,80-90%,80,48.66,44.49,52.48,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,5,0.25,0.03,0.52,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,10,0.35,0.13,0.64,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,15,0.49,0.24,0.75,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,20,0.67,0.42,0.97,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,25,0.99,0.72,1.31,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,30,1.41,1.09,1.81,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,35,1.94,1.56,2.39,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,40,2.63,2.18,3.15,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,45,3.55,3.04,4.25,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,50,5.00,4.27,5.90,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,55,7.40,6.36,8.70,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,60,11.25,9.76,13.01,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,65,18.10,15.93,20.89,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,70,27.41,24.19,31.33,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,75,38.52,34.52,43.31,,,
All Cancers,Norway,Males,HUNT,Age,90-95%,80,48.82,44.34,53.87,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,5,0.27,0.03,0.57,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,10,0.37,0.14,0.68,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,15,0.51,0.26,0.83,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,20,0.71,0.45,1.03,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,25,1.05,0.75,1.42,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,30,1.48,1.15,1.88,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,35,2.05,1.63,2.54,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,40,2.77,2.29,3.35,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,45,3.73,3.15,4.45,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,50,5.27,4.51,6.32,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,55,7.87,6.73,9.29,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,60,12.13,10.53,14.15,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,65,19.85,17.40,22.99,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,70,30.43,27.17,34.53,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,75,43.01,38.70,47.78,,,
All Cancers,Norway,Males,HUNT,Age,> 95%,80,54.36,49.58,59.38,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,5,0.07,0.05,0.10,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,10,0.14,0.11,0.17,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,15,0.22,0.18,0.26,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,20,0.32,0.28,0.37,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,25,0.47,0.40,0.54,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,30,0.70,0.60,0.81,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,35,1.10,0.94,1.29,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,40,1.81,1.54,2.11,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,45,2.91,2.47,3.35,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,50,4.58,3.87,5.28,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,55,6.80,5.90,7.74,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,60,9.66,8.51,10.79,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,65,13.79,12.30,15.30,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,70,18.92,17.11,20.72,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,75,24.92,22.80,26.98,,,
All Cancers,Norway,Females,HUNT,Age,< 20%,80,31.76,29.26,34.18,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,5,0.08,0.05,0.11,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,10,0.15,0.12,0.19,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,15,0.24,0.20,0.29,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,20,0.35,0.30,0.40,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,25,0.50,0.43,0.57,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,30,0.75,0.65,0.87,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,35,1.19,1.02,1.38,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,40,1.95,1.67,2.29,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,45,3.14,2.69,3.62,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,50,4.93,4.24,5.66,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,55,7.34,6.43,8.31,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,60,10.44,9.30,11.68,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,65,14.92,13.42,16.43,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,70,20.49,18.74,22.29,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,75,26.99,24.77,29.11,,,
All Cancers,Norway,Females,HUNT,Age,20-40%,80,34.35,31.88,37.00,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,5,0.09,0.06,0.12,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,10,0.17,0.14,0.20,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,15,0.27,0.23,0.31,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,20,0.40,0.35,0.44,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,25,0.57,0.50,0.64,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,30,0.86,0.75,0.96,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,35,1.36,1.19,1.52,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,40,2.22,1.94,2.51,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,45,3.57,3.10,3.98,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,50,5.60,4.87,6.25,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,55,8.26,7.34,9.18,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,60,11.62,10.43,12.74,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,65,16.38,14.83,17.89,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,70,22.17,20.44,23.84,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,75,28.77,26.70,30.82,,,
All Cancers,Norway,Females,HUNT,Age,40-60%,80,36.15,33.84,38.47,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,5,0.09,0.06,0.12,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,10,0.17,0.13,0.21,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,15,0.27,0.22,0.31,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,20,0.39,0.33,0.45,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,25,0.56,0.48,0.64,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,30,0.83,0.72,0.95,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,35,1.32,1.13,1.52,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,40,2.16,1.83,2.51,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,45,3.46,2.95,4.02,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,50,5.45,4.69,6.29,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,55,8.10,7.07,9.19,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,60,11.53,10.22,12.83,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,65,16.49,14.83,18.16,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,70,22.63,20.57,24.50,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,75,29.76,27.48,32.09,,,
All Cancers,Norway,Females,HUNT,Age,60-80%,80,37.74,35.11,40.58,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,5,0.11,0.07,0.15,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,10,0.21,0.16,0.26,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,15,0.33,0.27,0.40,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,20,0.48,0.40,0.56,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,25,0.69,0.58,0.81,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,30,1.04,0.88,1.21,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,35,1.64,1.40,1.90,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,40,2.68,2.25,3.18,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,45,4.29,3.62,4.99,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,50,6.71,5.65,7.80,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,55,9.82,8.53,11.11,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,60,13.67,12.14,15.12,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,65,19.01,17.04,20.77,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,70,25.34,23.06,27.49,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,75,32.38,29.72,35.14,,,
All Cancers,Norway,Females,HUNT,Age,80-90%,80,40.08,37.02,43.53,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,5,0.11,0.07,0.16,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,10,0.21,0.15,0.28,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,15,0.33,0.26,0.42,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,20,0.48,0.39,0.59,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,25,0.68,0.57,0.83,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,30,1.03,0.85,1.23,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,35,1.62,1.33,1.98,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,40,2.66,2.17,3.25,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,45,4.26,3.51,5.24,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,50,6.66,5.54,7.93,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,55,9.76,8.26,11.43,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,60,13.61,11.78,15.67,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,65,18.96,16.68,21.20,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,70,25.32,22.73,27.90,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,75,32.42,29.39,35.60,,,
All Cancers,Norway,Females,HUNT,Age,90-95%,80,40.18,36.71,44.22,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,5,0.11,0.07,0.17,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,10,0.22,0.16,0.29,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,15,0.34,0.27,0.44,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,20,0.50,0.41,0.62,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,25,0.72,0.60,0.89,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,30,1.08,0.90,1.33,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,35,1.71,1.42,2.11,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,40,2.80,2.31,3.45,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,45,4.48,3.74,5.49,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,50,7.02,5.93,8.56,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,55,10.37,8.82,12.25,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,60,14.62,12.72,16.78,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,65,20.65,18.31,23.31,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,70,27.92,25.34,30.86,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,75,36.09,33.22,39.68,,,
All Cancers,Norway,Females,HUNT,Age,> 95%,80,44.96,41.35,49.10,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,5,0.14,0.02,0.27,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,10,0.21,0.09,0.34,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,15,0.28,0.16,0.41,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,20,0.40,0.27,0.52,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,25,0.61,0.47,0.75,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,30,0.89,0.72,1.06,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,35,1.25,1.05,1.43,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,40,1.71,1.48,1.94,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,45,2.40,2.09,2.71,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,50,3.46,3.05,3.89,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,55,5.34,4.66,6.03,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,60,8.45,7.39,9.55,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,65,13.67,11.96,15.24,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,70,21.23,18.82,23.47,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,75,30.51,27.43,33.57,,,
All Cancers,United Kingdom,Males,Genomics England,Age,< 20%,80,40.11,36.82,43.47,,,
